名称,总价（万）,均价,成交日期,位置
南湖国际社区 4室2厅 234.94平米,315,13408元,2017-12-18,天府新区
天府长城嘉南地 3室2厅 129.62平米,315,24302元,2018-01-09,高新区
晶融汇 1室1厅 68.58平米,315,45932元,2018-01-01,锦江
保利心语三期 2室2厅 125平米,315,25200元,2017-12-12,高新区
天誉南庭 3室2厅 107.55平米,315,29289元,2017-11-17,锦江
童子街庭苑 4室2厅 156.56平米,315,20121元,2017-12-05,青羊
保利心语三期 3室2厅 124.3平米,315,25342元,2017-12-21,高新区
萨尔茨堡 6室2厅 278平米,315,11331元,2017-12-20,双流
蓝光公馆1881 3室2厅 197.74平米,315,15930元,2016-10-10,高新区
粼江峰阁 3室2厅 138.86平米,315,22685元,2017-09-24,锦江
南延新苑 4室2厅 244.19平米,315,12900元,2017-01-19,高新区
时代豪庭 3室1厅 172.26平米,315,18286元,2016-08-25,锦江
中海城南华府 3室2厅 133.4平米,315,23613元,2016-10-07,高新区
中海城南一号 5室2厅 185.43平米,315,16988元,2016-05-21,高新区
誉峰 4室2厅 203.41平米,315,15486元,2016-05-15,高新区
时代尊城 3室2厅 149.86平米,315,21020元,2017-10-12,青羊
银泰泰悦湾 4室2厅 151.02平米,314,20792元,2017-03-21,高新区
中海名城二期 4室2厅 169平米,314,18580元,2017-03-06,高新区
中海九号公馆 4室2厅 190平米,314,16537元,2016-06-01,高新区
天府欣苑 4室2厅 189平米,314,16603元,2016-05-01,高新区
蜀郡 4室2厅 264.62平米,313,11828元,2016-11-21,天府新区
金林俊景 3室2厅 145平米,313,21587元,2017-12-01,武侯
置信丽都花园B区 4室2厅 198平米,313,15769元,2016-03-14,武侯
蓝光凯丽美域 3室2厅 121.52平米,313,25758元,2017-11-06,青羊
中建桐梓林壹号 3室2厅 110.02平米,313,28450元,2018-01-22,高新区
中海龙湾半岛 4室2厅 157.17平米,313,19890元,2017-08-25,武侯
西派国际 3室2厅 170.25平米,313,18385元,2016-06-09,高新区
神仙树大院二期 4室2厅 169平米,313,18538元,2016-09-30,高新区
鹭岛国际社区二期 3室1厅 145.24平米,313,21551元,2018-01-28,武侯
麓山国际拉佩维尔 4室2厅 214.05平米,313,14623元,2016-11-30,天府新区
翠微清波 3室2厅 129.37平米,313,24195元,2017-12-20,青羊
翠微清波 4室2厅 160.73平米,313,19474元,2017-07-25,青羊
神仙树大院四期 4室2厅 178平米,313,17601元,2016-06-29,高新区
金沙鹭岛一期 5室2厅 285.93平米,312,10912元,2015-12-10,青羊
雅颂居 3室2厅 138.55平米,312,22519元,2017-10-01,高新区
长城半岛城邦三期 3室2厅 165平米,312,18956元,2016-06-30,高新区
成都A区 3室2厅 151平米,312,20663元,2017-09-26,武侯
成都花园 5室3厅 199.51平米,312,15639元,2017-04-08,青羊
左岸花都 5室2厅 193.17平米,312,16131元,2017-12-30,天府新区
银泰泰悦湾 4室2厅 153.31平米,312,20351元,2017-07-16,高新区
西派国际 2室2厅 90平米,312,34667元,2017-12-12,高新区
优品道三期 1室1厅 151平米,311,20596元,2015-08-25,青羊
万科城市花园 5室2厅 163.42平米,311,19031元,2016-09-04,锦江
博瑞都市花园 3室1厅 135.53平米,311,22947元,2017-10-25,青羊
锦都 2室1厅 92.64平米,311,33571元,2017-12-29,青羊
中海城南一号 4室2厅 240平米,310,12917元,2015-05-23,高新区
誉峰一期 4室2厅 201.54平米,310,15382元,2016-01-30,高新区
时代尊邸 3室2厅 162.38平米,310,19091元,2016-07-28,锦江
雅颂居 4室2厅 190.65平米,310,16260元,2017-02-22,高新区
永陵路29号院 5室3厅 117.16平米,310,26460元,2016-06-01,金牛
王府花园 6室2厅 407平米,310,7616元,2016-01-01,高新区
新鸿基悦城 5室2厅 252平米,310,12284元,2016-09-25,天府新区
三利宅院白云渡 4室3厅 325平米,310,9542元,2016-05-01,天府新区
天悦府 4室2厅 178平米,310,17415元,2016-01-01,高新区
时代尊城 6室2厅 218平米,310,14229元,2016-09-29,青羊
成都雅居乐花园别墅 4室2厅 353.76平米,310,8764元,2017-10-15,天府新区
绿地圣罗兰 4室2厅 364平米,310,8517元,2017-07-12,高新西区
中海城南华府 3室2厅 134.75平米,310,23006元,2016-10-17,高新区
世纪朝阳 3室2厅 139.54平米,310,22216元,2017-11-04,锦江
万和苑 4室2厅 155.12平米,310,19985元,2017-09-26,青羊
时代尊城 4室2厅 225平米,310,13778元,2017-01-10,青羊
合能西贵金沙 3室2厅 149.69平米,310,20710元,2017-08-03,青羊
天悦府 3室2厅 131.61平米,310,23555元,2017-09-12,高新区
复地雍湖湾 3室2厅 129.98平米,310,23850元,2017-09-26,高新区
世纪城天鹅湖 3室2厅 250.1平米,310,12396元,2017-04-11,高新区
鹭岛国际社区二期 3室2厅 134平米,310,23135元,2017-12-25,武侯
中华名园 4室2厅 195.73平米,310,15839元,2018-02-06,武侯
华润凤凰城三期 3室2厅 105.97平米,310,29254元,2018-02-10,高新区
中海翠屏湾 4室2厅 121.98平米,310,25415元,2018-01-22,高新区
华润翠林华庭 5室2厅 179平米,310,17319元,2017-11-01,成华
天府欣苑 4室2厅 189平米,310,16402元,2015-08-30,高新区
天府欣苑 4室2厅 189平米,310,16402元,2015-04-14,高新区
天府世家 4室2厅 140平米,310,22152元,2016-05-01,高新区
中海金沙府 3室2厅 177平米,310,17514元,2015-10-26,青羊
长富新城 3室2厅 139.64平米,310,22200元,2017-10-18,青羊
锦江花园城 4室2厅 221.87平米,310,13973元,2017-11-29,武侯
龙湖三千里 4室2厅 153.23平米,310,20232元,2017-10-29,成华
万和苑 3室2厅 152平米,310,20382元,2017-10-30,青羊
华润凤凰城 4室2厅 161.9平米,310,19148元,2017-03-10,高新区
银泰泰悦湾 2室1厅 111.85平米,310,27716元,2018-01-11,高新区
建发中央鹭洲 4室2厅 122.8平米,310,25245元,2017-12-04,高新区
中建桐梓林壹号 3室2厅 126.69平米,310,24470元,2018-01-01,高新区
神仙树大院四期 4室2厅 231.68平米,310,13381元,2015-07-12,高新区
新鸿基悦城 4室2厅 192.89平米,310,16072元,2017-12-11,天府新区
中海名城三期 3室2厅 128.65平米,310,24097元,2017-12-11,高新区
新里派克公馆 3室2厅 171.98平米,310,18026元,2017-09-17,郫都区
望江橡树林 3室2厅 123.71平米,310,25059元,2018-01-12,锦江
四海逸家蓝钻 4室2厅 87.45平米,310,35449元,2017-05-24,锦江
上海花园 3室2厅 148.76平米,310,20839元,2017-11-23,高新区
龙光天悦龙庭 4室2厅 173平米,310,17920元,2017-11-24,锦江
华置西锦城 4室2厅 166.13平米,310,18661元,2017-10-20,金牛
华润凤凰城 3室2厅 136.52平米,310,22708元,2017-11-17,高新区
中海金沙府 3室2厅 135平米,310,22963元,2017-07-02,青羊
粼江峰阁 3室2厅 147.49平米,310,21019元,2017-07-25,锦江
保利香槟光华 4室2厅 120.12平米,310,25808元,2017-12-15,青羊
华润凤凰城三期 3室2厅 182.2平米,310,17014元,2016-09-13,高新区
成都花园 3室2厅 142.64平米,310,21734元,2018-01-25,青羊
紫藤花园 4室2厅 256.29平米,310,12096元,2018-01-24,武侯
天悦府 3室2厅 130.92平米,310,23679元,2017-09-25,高新区
仁和春天国际花园 2室2厅 110平米,310,28182元,2017-03-19,高新区
王府花园 6室2厅 407.3平米,310,7611元,2016-01-17,高新区
香瑞湖 4室2厅 255平米,310,12157元,2017-02-12,温江
时代尊城 3室2厅 131.68平米,310,23542元,2017-11-19,青羊
世代锦江凯旋门 3室2厅 174平米,309,17759元,2017-02-26,锦江
南城都汇 4室2厅 227.92平米,309,13557元,2016-10-09,高新区
仁和春天国际花园 3室2厅 155.71平米,308,19780元,2016-12-26,高新区
保利花园 3室2厅 99平米,308,31112元,2017-08-28,武侯
世茂玉锦湾 4室2厅 258.75平米,308,11903元,2016-09-23,成华
天府世家 3室2厅 94.23平米,308,32686元,2017-09-08,高新区
观南上域 4室2厅 153.51平米,308,20064元,2017-08-24,武侯
保利中心 3室1厅 89.25平米,308,34510元,2018-01-04,武侯
九龙仓擎天半岛 3室2厅 240平米,308,12833元,2015-08-26,锦江
鹭岛国际社区二期 3室2厅 175平米,308,17600元,2017-02-28,武侯
西班牙森林 4室1厅 226.64平米,308,13590元,2018-02-12,温江
华润凤凰城 4室2厅 162.14平米,308,18996元,2016-11-30,高新区
保利百合花园 3室2厅 97.84平米,308,31480元,2017-12-24,高新区
晶融汇 1室1厅 70.52平米,308,43676元,2018-01-12,锦江
远大都市风景 3室2厅 180.74平米,308,17042元,2018-01-16,高新区
华润凤凰城二期 6室2厅 157.88平米,308,19509元,2017-03-15,高新区
华润二十四城四期 5室2厅 188.93平米,308,16303元,2017-03-11,成华
督院府邸 4室2厅 187.9平米,307,16338元,2016-09-11,锦江
成都花园 5室2厅 218平米,307,14083元,2015-10-11,青羊
中粮祥云国际生活区二期 3室2厅 130.17平米,307,23570元,2017-11-13,武侯
南城都汇四期 4室2厅 140.87平米,307,21794元,2017-08-04,高新区
四海逸家三期 4室2厅 96.88平米,307,31689元,2017-03-19,锦江
誉峰 4室2厅 181.13平米,307,16949元,2016-05-10,高新区
六月花苑 3室2厅 141.64平米,307,21675元,2017-03-12,青羊
保利百合花园 4室2厅 100.77平米,307,30466元,2017-09-21,高新区
奥克斯广场 3室2厅 126.09平米,307,24348元,2017-11-25,高新区
天合凯旋城 3室2厅 143.56平米,307,21350元,2017-11-05,青羊
时代尊城 3室2厅 163.05平米,307,18798元,2016-07-18,青羊
滨河湾 4室2厅 224平米,306,13661元,2015-04-09,锦江
万科城市花园 3室2厅 136.9平米,306,22353元,2017-07-10,锦江
世茂玉锦湾 3室3厅 273平米,306,11208元,2016-02-01,成华
金沙西墅 3室2厅 166.06平米,306,18427元,2016-10-09,青羊
成都ICC 2室1厅 117平米,306,26154元,2017-09-14,锦江
中海名城三期 3室2厅 143.73平米,306,21290元,2018-02-02,高新区
新鸿基悦城 4室2厅 200.33平米,306,15265元,2017-11-12,天府新区
翠微清波 3室2厅 136平米,306,22500元,2018-02-11,青羊
中海国际社区碧林 4室2厅 204.36平米,306,14974元,2017-08-28,高新西区
时代晶科名苑 3室2厅 143.94平米,306,21259元,2017-10-18,高新区
清江花园 3室2厅 274.33平米,306,11155元,2018-01-11,青羊
保利金香槟 4室2厅 149平米,306,20537元,2017-01-20,青羊
中央花园 5室2厅 288平米,306,10625元,2016-02-01,武侯
九龙仓擎天半岛 4室2厅 242.93平米,305,12555元,2016-03-07,锦江
时代豪庭 3室1厅 143.06平米,305,21320元,2016-10-21,锦江
四海逸家三期 4室2厅 88.39平米,305,34506元,2016-10-20,锦江
万科魅力之城三期 4室2厅 176.38平米,305,17293元,2017-07-10,成华
仁恒滨河湾 3室2厅 176平米,305,17329元,2016-03-01,锦江
翡翠城五期 6室1厅 114平米,305,26754元,2016-02-01,锦江
鹭岛国际社区二期 4室2厅 189平米,305,16138元,2015-10-30,武侯
中大君悦金沙 3室2厅 134.06平米,305,22752元,2017-10-01,青羊
建发天府鹭洲 5室2厅 142.77平米,305,21364元,2017-03-22,高新区
时代晶科名苑 4室2厅 178.13平米,305,17123元,2017-03-22,高新区
晶融汇 1室1厅 68.58平米,305,44474元,2017-11-30,锦江
仁恒滨河湾 4室2厅 225.8平米,305,13508元,2015-10-19,锦江
彩叠园二期 4室2厅 260平米,305,11731元,2018-01-05,温江
龙城一号 4室2厅 179.77平米,305,16967元,2018-01-05,龙泉
龙湖世纪峰景 3室2厅 148.64平米,305,20520元,2017-09-04,高新区
皇后国际 3室2厅 95.13平米,305,32062元,2017-10-19,锦江
蓝光公馆1881 3室2厅 198平米,305,15404元,2017-01-07,高新区
世茂玉锦湾 5室2厅 256平米,305,11914元,2015-10-12,成华
莱茵河畔 4室3厅 181.95平米,305,16763元,2017-11-27,武侯
优品道四期 3室2厅 91平米,305,33517元,2018-02-09,青羊
博瑞都市花园 3室2厅 134.67平米,305,22648元,2017-09-11,青羊
西派国际 4室2厅 183.5平米,305,16621元,2015-07-11,高新区
桂溪苑 4室2厅 208平米,305,14663元,2016-04-21,高新区
新界三期 4室2厅 166.09平米,305,18364元,2016-08-26,武侯
世茂玉锦湾 4室2厅 256.24平米,305,11903元,2016-11-30,成华
高地 4室2厅 141.32平米,305,21583元,2018-01-08,成华
万科金域西岭 3室2厅 173平米,305,17631元,2017-10-21,金牛
建发中央鹭洲 4室2厅 123.05平米,305,24787元,2017-12-16,高新区
桐梓林欧城 4室2厅 194.22平米,305,15704元,2016-06-08,武侯
澳龙名城 3室1厅 110.95平米,305,27490元,2018-01-29,锦江
利通出水芙蓉 8室3厅 302平米,305,10099元,2016-04-09,天府新区
天合凯旋城 4室2厅 195平米,305,15641元,2017-02-22,青羊
凯德风尚 4室2厅 173平米,304,17552元,2016-07-30,青羊
华侨城纯水岸208区 4室2厅 142.25平米,304,21371元,2017-09-19,金牛
金林俊景 5室2厅 166.92平米,304,18213元,2017-11-18,武侯
碧华邻 3室2厅 154平米,304,19741元,2017-03-29,青羊
成都花园别墅 4室3厅 228.18平米,304,13323元,2017-12-08,青羊
成都棕榈泉费尔蒙公寓 3室2厅 112平米,304,27143元,2017-03-20,高新区
环球汇天誉 5室2厅 210平米,303,14428元,2016-02-01,锦江
华润凤凰城三期 4室2厅 156.96平米,303,19304元,2016-10-08,高新区
中粮祥云国际生活区三期 3室2厅 135.8平米,303,22313元,2017-08-20,武侯
香颂岛 4室2厅 272.53平米,303,11118元,2016-07-31,温江
时代尊邸 3室2厅 175.97平米,303,17219元,2016-09-17,锦江
时代尊邸 3室2厅 175.91平米,303,17225元,2016-07-23,锦江
粼江峰阁 5室2厅 233平米,303,13005元,2017-04-20,锦江
华润凤凰城 3室2厅 146.8平米,303,20640元,2017-02-14,高新区
时代尊邸 3室2厅 217平米,303,13963元,2015-07-23,锦江
成都ICC 2室1厅 128平米,303,23672元,2017-08-30,锦江
新鸿基悦城 3室2厅 156.67平米,303,19341元,2017-12-15,天府新区
中建桐梓林壹号 3室2厅 110.12平米,303,27516元,2018-01-12,高新区
中华园二期 4室2厅 249.89平米,303,12125元,2016-09-15,武侯
长城半岛城邦二期 4室2厅 161平米,302,18758元,2015-11-30,高新区
天韵金沙 4室2厅 150.71平米,302,20039元,2017-03-07,青羊
碧华邻 3室2厅 146平米,302,20685元,2017-08-20,青羊
南城都汇四期 4室2厅 144.11平米,302,20922元,2017-07-16,高新区
中洲中央城邦 3室2厅 103.4平米,302,29207元,2018-01-22,锦江
誉峰 4室2厅 185平米,302,16324元,2016-05-31,高新区
华宇蓉国府 4室2厅 130.93平米,302,23066元,2017-04-07,武侯
凯丽豪景 3室2厅 118.6平米,302,25464元,2017-12-20,金牛
世茂玉锦湾 4室2厅 158平米,302,19113元,2016-04-18,成华
复地雍湖湾 4室2厅 153.7平米,302,19649元,2017-03-27,高新区
鹭岛国际社区二期 3室2厅 173.13平米,302,17444元,2016-11-20,武侯
绿地锦天府 3室2厅 198.87平米,301,15136元,2016-10-27,锦江
新阳光健康家园 4室2厅 159.7平米,301,18828元,2017-12-09,青羊
天合凯旋城 3室2厅 150.22平米,301,20016元,2017-11-24,青羊
鹭岛国际社区二期 3室2厅 146平米,301,20617元,2017-04-30,武侯
鹭岛国际社区二期 3室2厅 146平米,301,20617元,2017-04-30,武侯
滨河湾 3室1厅 179平米,300,16760元,2015-06-06,锦江
世纪城天鹅湖 5室2厅 347.48平米,300,8634元,2015-06-08,高新区
时代豪庭 3室2厅 172平米,300,17442元,2015-07-29,锦江
中海城南一号 3室2厅 193.58平米,300,15497元,2016-03-17,高新区
翡翠城四期 4室2厅 216平米,300,13889元,2015-12-24,锦江
仁和春天国际花园 3室2厅 165.5平米,300,18127元,2016-11-15,高新区
天府欣苑西区 4室2厅 189.48平米,300,15833元,2016-04-17,高新区
绿地锦天府 4室2厅 320平米,300,9375元,2016-04-11,锦江
长城半岛城邦三期 4室2厅 179.99平米,300,16668元,2016-09-23,高新区
龙湖世纪峰景 3室2厅 280.33平米,300,10702元,2016-01-17,高新区
中粮祥云国际生活区二期 3室2厅 143.66平米,300,20883元,2017-07-09,武侯
龙湖世纪峰景 3室2厅 280平米,300,10714元,2016-01-01,高新区
银泰泰悦湾 4室2厅 196平米,300,15315元,2016-09-25,高新区
万科五龙山九墅 4室4厅 219平米,300,13691元,2016-09-25,新都
中华园 3室3厅 236平米,300,12712元,2016-12-22,武侯
四海逸家华府 4室2厅 88.38平米,300,33945元,2017-04-25,锦江
园中苑 4室3厅 239.5平米,300,12526元,2015-08-31,锦江
浣花香 3室2厅 158平米,300,18988元,2017-03-30,青羊
康河郦景三期 3室2厅 207.3平米,300,14472元,2016-01-10,武侯
世茂玉锦湾 4室2厅 261.56平米,300,11470元,2016-07-31,成华
保利康桥 4室2厅 197.58平米,300,15184元,2016-11-20,成华
四海逸家蓝钻 5室2厅 87.45平米,300,34305元,2016-11-30,锦江
天府欣苑 4室2厅 189平米,300,15873元,2016-04-23,高新区
翠微清波 3室2厅 114.3平米,300,26247元,2017-07-24,青羊
三利宅院福邸 5室2厅 269.28平米,300,11141元,2016-09-24,高新区
仁和春天国际花园 4室2厅 184.67平米,300,16245元,2016-11-25,高新区
世茂玉锦湾 4室2厅 300.35平米,300,9988元,2016-06-12,成华
武侯庭园 5室2厅 225平米,300,13334元,2017-10-01,武侯
蜀风花园城 5室2厅 248.55平米,300,12070元,2016-09-03,青羊
浣花庭园 4室2厅 188.23平米,300,15938元,2015-12-20,青羊
龙湖三千城 4室2厅 211平米,300,14234元,2016-05-25,成华
东山传世家宝 4室3厅 283.9平米,300,10567元,2016-06-04,龙泉
中华名园 4室3厅 194.16平米,300,15452元,2017-06-27,武侯
蜀郡 4室2厅 264.86平米,300,11327元,2016-12-16,天府新区
雅颂居 3室2厅 137.5平米,300,21819元,2017-03-19,高新区
天府欣苑 4室1厅 189平米,300,15873元,2016-04-18,高新区
时代豪庭 2室2厅 112.81平米,300,26594元,2017-07-11,锦江
锦水雅居 4室2厅 208平米,300,14423元,2016-03-01,青羊
中海金沙府 4室2厅 200平米,300,15000元,2016-02-01,青羊
中海名城二期 4室2厅 196.51平米,300,15266元,2016-06-17,高新区
麓山国际圣芭芭拉 3室3厅 236.36平米,300,12693元,2017-01-10,天府新区
鹭岛国际社区三期 4室2厅 167.96平米,300,17861元,2017-02-24,武侯
御都花园别墅 4室2厅 276平米,300,10870元,2016-09-28,金牛
置信丽都玉园领邸 6室2厅 264平米,300,11364元,2017-08-09,青羊
君临天下 4室2厅 197平米,300,15229元,2017-09-14,高新西区
中德英伦联邦B区 4室2厅 136.32平米,300,22008元,2017-11-04,高新区
新鸿基悦城 3室1厅 158.43平米,300,18936元,2017-11-05,天府新区
世纪城天鹅湖 4室2厅 200.37平米,300,14973元,2017-09-19,高新区
凯莱帝景 5室2厅 261.64平米,300,11467元,2017-09-20,武侯
世纪城天鹅湖 3室2厅 203.99平米,300,14707元,2017-10-27,高新区
锦江花园城 8室2厅 221.87平米,300,13522元,2017-09-08,武侯
国信滨河雅居 3室2厅 141.3平米,300,21232元,2017-09-30,武侯
阳曦芙蓉城 5室2厅 241.9平米,300,12402元,2017-10-14,金牛
望江橡树林 3室2厅 131.87平米,300,22750元,2017-11-14,锦江
龙湖世纪峰景 3室2厅 147.73平米,300,20307元,2017-01-22,高新区
两江国际 3室1厅 136.33平米,300,22006元,2017-10-26,高新区
江郊庭苑 3室2厅 126.23平米,300,23767元,2017-11-27,青羊
南城都汇二A期 3室2厅 145平米,300,20690元,2017-09-25,高新区
中海龙湾半岛 3室2厅 141.62平米,300,21184元,2017-10-24,武侯
上海花园 3室2厅 138平米,300,21740元,2017-10-25,高新区
康郡 4室2厅 174.71平米,300,17172元,2017-08-18,锦江
九龙仓擎天半岛 3室2厅 222平米,300,13514元,2015-04-11,锦江
四海逸家华府 4室2厅 87.74平米,300,34192元,2017-05-11,锦江
银泰花园 5室2厅 322.08平米,300,9315元,2017-07-17,双流
东山传世家宝 4室3厅 285平米,300,10527元,2017-07-18,龙泉
学林雅苑 5室2厅 273.48平米,300,10970元,2017-07-30,高新西区
桂溪苑 3室2厅 120.15平米,300,24969元,2017-10-08,高新区
祥域 3室2厅 140.98平米,300,21280元,2017-10-08,青羊
西子香荷 3室2厅 124平米,300,24194元,2017-11-26,青羊
财富中心 3室1厅 97平米,300,30928元,2018-02-02,锦江
金沙鹭岛二期 4室2厅 154.83平米,300,19377元,2017-09-10,青羊
银诚归墅 4室2厅 293平米,300,10239元,2017-09-10,温江
金沙愉景 3室2厅 128平米,300,23438元,2018-01-25,青羊
光华逸家 4室2厅 110.5平米,300,27150元,2018-01-23,青羊
誉峰 4室2厅 184.37平米,300,16272元,2016-07-03,高新区
南苑小区 4室2厅 182.92平米,300,16401元,2016-05-31,高新区
西派国际 4室2厅 218平米,300,13761元,2015-11-29,高新区
中海城南一号 4室2厅 175平米,300,17143元,2015-09-07,高新区
天府欣苑 4室2厅 206平米,300,14563元,2015-06-24,高新区
华润凤凰城三期 4室2厅 182.87平米,300,16405元,2016-07-16,高新区
麓山国际塞尔维蒙 4室2厅 186.05平米,300,16125元,2017-03-12,天府新区
四海逸家蓝钻 4室2厅 87.58平米,300,34255元,2017-06-23,锦江
78号观邸 3室2厅 141.14平米,300,21256元,2017-06-23,青羊
金沙鹭岛 3室2厅 128.07平米,300,23425元,2017-11-10,青羊
麓山国际塞尔维蒙 4室2厅 186.05平米,300,16125元,2017-09-22,天府新区
西派国际 3室2厅 141平米,300,21277元,2016-10-17,高新区
中大君悦金沙五期 4室2厅 134.79平米,300,22257元,2017-03-15,青羊
翡翠城二期 3室2厅 135.18平米,300,22193元,2016-12-25,锦江
中央花园 6室2厅 230平米,300,13044元,2017-05-01,武侯
时代晶科名苑 2室2厅 122.6平米,300,24470元,2017-10-13,高新区
卓锦城五期 4室2厅 194.98平米,300,15387元,2017-10-14,锦江
中大君悦金沙 3室1厅 129.19平米,300,23222元,2018-01-08,青羊
保利心语三期 5室2厅 143平米,300,20980元,2017-04-23,高新区
仁和世代春天 3室2厅 151.19平米,300,19836元,2017-10-30,青羊
置信丽都花园D区 4室2厅 191.16平米,300,15694元,2017-09-15,武侯
望江橡树林 3室2厅 117.77平米,300,25474元,2017-12-21,锦江
麓山国际社区茵特拉肯 3室2厅 169平米,300,17752元,2017-12-20,天府新区
中海九号公馆 2室2厅 89.74平米,300,33430元,2017-12-11,高新区
望江水岸 3室2厅 113.56平米,300,26418元,2017-11-17,锦江
保利百合花园 4室2厅 78.05平米,300,38437元,2017-11-25,高新区
世纪朝阳 3室2厅 124.69平米,300,24060元,2017-08-28,锦江
德馨苑 4室2厅 136.68平米,300,21950元,2017-09-16,锦江
仁和春天国际花园 3室2厅 125.06平米,300,23989元,2017-09-18,高新区
碧华邻 3室2厅 136.95平米,300,21906元,2017-11-06,青羊
外滩 4室2厅 137.93平米,300,21751元,2017-11-24,锦江
金沙鹭岛二期 3室2厅 130.09平米,300,23061元,2017-10-22,青羊
龙湖世纪峰景 3室2厅 148.62平米,300,20186元,2017-06-30,高新区
华府金沙 3室2厅 141.97平米,300,21132元,2017-07-24,青羊
凯丽豪景 3室2厅 115.6平米,300,25952元,2017-12-19,金牛
佳兆业君汇上品 5室2厅 172.12平米,300,17430元,2017-12-13,天府新区
燕沙庭院 3室2厅 140.16平米,300,21405元,2017-12-11,青羊
雅颂居 4室2厅 190.63平米,300,15737元,2016-09-10,高新区
维港 3室2厅 123.75平米,300,24243元,2018-01-29,武侯
粼江峰阁 2室2厅 120.14平米,300,24971元,2018-01-28,锦江
中铁双龙湾 4室2厅 151.56平米,300,19795元,2018-01-17,青羊
中海城南一号 4室2厅 185.43平米,300,16179元,2015-07-30,高新区
时代豪庭 3室1厅 172.56平米,300,17385元,2016-06-06,锦江
中央花园 6室2厅 230平米,300,13044元,2017-05-01,武侯
莱茵河畔 3室3厅 181.95平米,300,16489元,2017-09-06,武侯
碧云天 3室2厅 162.39平米,300,18475元,2017-09-23,武侯
南城都汇四期 4室2厅 144平米,300,20834元,2017-04-08,高新区
中海九号公馆 4室2厅 190平米,300,15789元,2016-05-01,高新区
中海城南一号 4室2厅 185平米,300,16216元,2016-03-01,高新区
天府世家 3室2厅 170平米,300,17647元,2015-04-01,高新区
天府欣苑 4室2厅 189.52平米,300,15829元,2016-06-21,高新区
时代尊城 3室2厅 149平米,300,20135元,2017-04-27,青羊
康河郦景三期 3室2厅 156.66平米,300,19150元,2017-09-07,武侯
中海兰庭 3室2厅 141.63平米,300,21182元,2017-10-12,高新区
蜀郡 4室2厅 243平米,299,12304元,2016-03-01,天府新区
天韵金沙 4室2厅 178平米,299,16798元,2017-03-09,青羊
神仙树大院三期 4室2厅 154.76平米,299,19320元,2017-02-25,高新区
英郡 3室2厅 147.03平米,299,20336元,2018-02-05,高新区
世茂玉锦湾 4室2厅 260平米,299,11500元,2016-04-01,成华
世茂玉锦湾 4室2厅 258平米,299,11589元,2015-07-09,成华
保利康桥 3室2厅 185.93平米,298,16028元,2017-02-22,成华
成都后花园二期 6室2厅 289.61平米,298,10290元,2017-05-15,郫都区
香瑞湖 5室3厅 328平米,298,9088元,2016-08-31,温江
心怡德盛苑 5室2厅 242平米,298,12315元,2017-03-08,天府新区
华府金沙 3室2厅 127.75平米,298,23327元,2017-09-26,青羊
天府世家 3室2厅 89.8平米,298,33185元,2017-05-17,高新区
中海名城三期 3室2厅 143.67平米,298,20742元,2017-09-13,高新区
万科城市花园 3室2厅 123平米,298,24228元,2017-10-09,锦江
解放西街5号院 4室2厅 217平米,298,13733元,2017-03-12,金牛
南湖国际社区 4室3厅 234.99平米,298,12661元,2017-11-26,天府新区
天府欣苑 4室2厅 189.44平米,298,15731元,2016-06-09,高新区
康郡 4室2厅 177平米,298,16836元,2017-02-21,锦江
复地雍湖湾 4室2厅 169平米,298,17633元,2016-04-01,高新区
蓝光凯丽美域 3室2厅 120.9平米,298,24639元,2017-11-03,青羊
翡翠城 3室2厅 113.95平米,298,26152元,2017-12-22,锦江
上品金沙 3室2厅 144.22平米,298,20663元,2017-11-23,青羊
成都花园别墅 5室2厅 238平米,298,12521元,2016-05-14,青羊
御都花园别墅 5室2厅 268平米,298,11101元,2016-09-28,金牛
时代豪庭 2室1厅 106.41平米,298,28005元,2017-06-30,锦江
新鸿基悦城 4室2厅 175.97平米,298,16935元,2017-12-09,天府新区
国嘉华庭 4室2厅 171.24平米,298,17403元,2017-11-19,青羊
华润凤凰城三期 4室2厅 151.97平米,297,19510元,2016-12-24,高新区
东山传世家宝 4室2厅 285平米,297,10422元,2017-06-28,龙泉
凯德风尚 3室2厅 124.62平米,297,23833元,2018-01-21,青羊
中铁奥维尔 6室4厅 278平米,297,10684元,2018-01-15,郫都区
成都后花园国宾红葉 4室2厅 142.92平米,297,20781元,2017-12-24,郫都区
中粮锦云 4室2厅 129.6平米,297,22917元,2017-12-05,成华
仁和世代春天 5室2厅 156.61平米,297,18965元,2017-12-05,青羊
优品道 4室2厅 179.86平米,296,16457元,2016-09-04,青羊
神仙树大院三期 4室2厅 161平米,296,18386元,2017-03-17,高新区
成都花园 4室2厅 237.38平米,296,12469元,2016-07-23,青羊
罗浮世家二期 3室2厅 150.05平米,296,19727元,2017-11-05,武侯
时代豪庭 3室2厅 113平米,296,26195元,2017-03-13,锦江
凯德风尚 3室2厅 252平米,296,11738元,2017-02-28,青羊
中海城南一号 3室2厅 180.65平米,296,16396元,2016-09-14,高新区
清荷苑 4室2厅 157.86平米,296,18751元,2018-01-28,武侯
金府花园 5室2厅 220.81平米,296,13405元,2017-02-19,锦江
中海名城三期 3室2厅 131.36平米,296,22534元,2017-11-11,高新区
中华园二期 4室2厅 184.5平米,296,16043元,2016-07-22,武侯
融城理想 5室2厅 206.69平米,296,14321元,2016-09-15,高新区
